surname
Marchetti
Marchi
Mariani
Marini
Marino
Marocchini
Maroncelli
Marra
Martellini 
Martinelli
Martini
Martino
Martys
Mascali Zeo
Masetti
Massa
Mathlouthi
Mattioni
Mauro
Mazza
Medda
Mele
Meloni
Mena
Mercantini
Messina
Metozzi
Meucci
Mezzogori
Michilli
Milani
Milenov
Milutinovic
Mincuzzi
Minelli
Minestrini 
Minnella
Minuz
Mirante
Mohammed
Moiano
Mollica
Monaco
Monsone 
Monsorno
Montanari
Montevecchi
Monti
Montuori
Morelli
Moretti
Moro
Morselli
Morsiani
Moschetti
Moukrim
Mucci
Mugione
Muratori
Mussinelli
Naci
Napoli
Napolitano
Narducci
Neri
Niane
Nicastro
Nini
Nizzi
Nurul
Nuti
Odigwe
Oliva
Olivelli
Olivieri
Orlandi
Orlando
Ortu
Ossati
Pace
Pacini
Paduano
Pagano
Paglia
Pal Ionut
Palatano
Palazzari
Palma 
Palmieri
Palumbo
Panchetti
Panichi
Panza
Paolini
Papaleo
Paradisi
Parini
Parisi
Parravani
Pascale
Pascucci
Pasolini
Pasquini
Passitto
Pastore
Patruno
Patwary
Paul
Pellegrini
Pellegrino
Pelliccia
Pello'
Pelo
Pepe
Pereira De Castro
Perrone
Petritoli
Pezzuco
Pia
Piacentini
Piani
Piazza
Piccoli
Piccolo
Piersanti
Pierucci
Pierucci 
Piga
Pinna
Piras
Piro
Pisacane
Placidi 
Planta
Poli
Policarpo
Polidori
Polyzopoulos
Pompili
Pongetti
Poni
Popescu
Popovici
Porcu
Porta
Potalivo 
Pozzi
Pracucci
Prelati
Proietti
Pucciotti
Pulsoni
Quadalti Noferini
Quadrini
Quartarone
Rainesi
Ranfi
Ranucci
Raqabi
Rebeccato
Renzoni
Renzulli
Resende Azevedo
Riboloni
Ricci
Ricciardi
Ricciolino
Rifilato
Rimoldi
Rinaldi
Riva
Rizzelli
Rizzi
Rizzo
Robbio
Rocchi
Romagnoli 
Romani Bergonzo
Romano
Romeo
Rosata
Rosati
Rosato
Rossetti
Rossi
Rotella
Rucci
Rudel
Ruggeri
Ruggieri
Ruggiero
Russo
Saccone
Sala
Salamone 
Salvemini
Salvini
Sanges
Sanna
Santana Moscato
Santini
Santoro
Santucci
Sarpieri
Sartori
Sassetti
Sassi
Sasvari
Satta
Sbreni
Scarale
Scardone
Scipioni
Scotti
Sebastiani
Sementilli
Sepe 
Serban
Seri
Serra
Sestito
Settembrini
Severi
Sgrigna
Siapian
Silvestri
Simonetti
Simoni
Sipio
Siracusa
Soldati
Sorbalo
Sorgentone
Soro
Sorrentino
Spalletta
Speziale
Spoletini
Sposato
Stazzone
Stefanovich
Steffanina
Steffenoni
Stefoni
Strazzanti
Succi
Tabane
Taifi
Tambini
Tarani
Tarnogrodzki
Tarozzi
Taurone
Tazzari
Teodorani
Terracciano
Testa
Tiglio
Tioni
Tiranno
Tisba
Toader
Tomassi
Torraca
Toso
Tosolini
Totaro 
Tranquilli
Trasforini
Trombino
Tronconi
Tufano
Tulli
Turci
Urbini
Urzo
Usami
Vaccaro
Valbonesi
Valdinosi
Valente
Valentini
Valvano
Vandenbulcke
Vanni
Vannozzi
Vassura
Vella
Veneziani
Veneziano
Verastegui Pereyra
Vidanalage
Villa
Villani
Vincenzi
Vinciguerra
Vitale
Vitali
Vitor
Volpe
Von Oppen
Wally
Wenz
Wicher
Williams
Wilmer
Wirth
Wozniak
Wozniczka
Zaccaria
Zak
Zamberlan
Zandoli
Zanella
Zanellati
Zanelli
Zanetti
Zapalski
Zaratti
Zavalloni
Zavoli
Zecchini
Zenina
Zeolla
Zepponi
Zinnamosca
Zito
Zivkovic
Zolea
Zolnowski
Zuccherelli
Zurzolo
